date,code,open,high,low,close,volume,turn,pctChg
2010-01-29,sh.000001,3289.7500,3306.7510,2963.8910,2989.2920,235567903400,0.201031,-8.783485
2010-02-26,sh.000001,2981.3740,3067.5250,2890.0210,3051.9430,122554105100,0.103715,2.095847
2010-03-31,sh.000001,3057.0060,3132.5760,2963.4380,3109.1050,214915938600,0.180380,1.872971
2010-04-30,sh.000001,3111.9350,3181.6630,2820.9490,2870.6110,229744651400,0.190652,-7.670825
2010-05-31,sh.000001,2821.3540,2862.5550,2481.9740,2592.1470,166994833900,0.133617,-9.700513
2010-06-30,sh.000001,2577.7630,2598.8970,2382.3580,2398.3700,122570128600,0.096576,-7.475541
2010-07-30,sh.000001,2393.9470,2656.4080,2319.7390,2637.5030,190747404700,0.147375,9.970647
2010-08-31,sh.000001,2635.8070,2701.9300,2564.8380,2638.7980,240948800600,0.183327,0.049099
2010-09-30,sh.000001,2641.0530,2704.9330,2573.6290,2655.6580,204526103600,0.154463,0.638927
2010-10-29,sh.000001,2681.2530,3073.3840,2677.9940,2978.8350,297014940300,0.219651,12.169376
2010-11-30,sh.000001,2986.8860,3186.7200,2758.9240,2820.1810,353400190700,0.237711,-5.326042
2010-12-31,sh.000001,2810.5430,2939.0500,2721.4790,2808.0770,211966345300,0.134014,-0.429192
2011-01-31,sh.000001,2825.3290,2868.0050,2661.4480,2790.6940,172827304500,0.106983,-0.619036
2011-02-28,sh.000001,2795.0710,2944.4130,2760.1750,2905.0530,175649129400,0.107944,4.097870
2011-03-31,sh.000001,2906.2850,3012.0440,2850.9450,2928.1110,294103337700,0.179600,0.793720
2011-04-29,sh.000001,2932.4810,3067.4560,2871.0100,2911.5110,230986007900,0.139645,-0.566918
2011-05-31,sh.000001,2911.5100,2933.4600,2689.2060,2743.4720,178511442500,0.106222,-5.771539
2011-06-30,sh.000001,2737.0570,2774.3650,2610.9900,2762.0760,162695218300,0.095563,0.678119
2011-07-29,sh.000001,2767.8340,2826.9590,2677.1190,2701.7290,197195744500,0.113741,-2.184842
2011-08-31,sh.000001,2697.5750,2712.8880,2437.6810,2567.3400,180197859500,0.102774,-4.974185
2011-09-30,sh.000001,2569.7990,2584.8040,2348.2170,2359.2200,119028500100,0.067288,-8.106445
2011-10-31,sh.000001,2363.0780,2483.7590,2307.1460,2468.2500,120177730800,0.067761,4.621443
2011-11-30,sh.000001,2450.3310,2536.7790,2319.4400,2333.4140,164171964900,0.092128,-5.462818
2011-12-30,sh.000001,2392.4850,2423.5590,2134.0170,2199.4170,115451788500,0.064410,-5.742530
2012-01-31,sh.000001,2211.9950,2324.4930,2132.6260,2292.6100,104558051900,0.058164,4.237168
2012-02-29,sh.000001,2288.0660,2478.3750,2263.3420,2428.4870,195228381700,0.108189,5.926739
2012-03-30,sh.000001,2418.7880,2476.2160,2242.3450,2262.7880,208945209600,0.115445,-6.823137
2012-04-27,sh.000001,2258.0310,2415.7490,2251.3930,2396.3160,163371539100,0.089866,5.901039
2012-05-31,sh.000001,2421.0820,2453.7310,2309.0720,2372.2340,199123483400,0.108935,-1.004959
2012-06-29,sh.000001,2373.2240,2388.0870,2188.7160,2225.4310,127609355500,0.069266,-6.188386
2012-07-31,sh.000001,2234.3200,2244.8320,2100.2520,2103.6340,134908245700,0.072375,-5.472962
2012-08-31,sh.000001,2101.7230,2176.7950,2032.5370,2047.5220,136402186500,0.072158,-2.667384
2012-09-28,sh.000001,2044.8250,2145.0030,1999.4840,2086.1690,143278782600,0.075414,1.887501
2012-10-31,sh.000001,2084.8490,2138.0270,2053.0920,2068.8800,123125158600,0.064397,-0.828744
